,file_name,total_lines,covered_lines,uncovered_lines
625,audio-preloader.service.ts,47,42,5
626,audio-translation-language.service.ts,48,48,0
627,audio-translation-manager.service.ts,26,26,0
628,content-translation-language.service.ts,29,29,0
629,content-translation-manager.service.ts,89,89,0
630,current-interaction.service.ts,31,27,4
631,exploration-engine.service.ts,204,55,149
632,exploration-player-state.service.ts,108,47,61
633,exploration-recommendations.service.ts,21,21,0
634,extract-image-filenames-from-state.service.ts,82,82,0
635,fatigue-detection.service.ts,15,14,1
636,hint-and-solution-modal.service.ts,16,16,0
637,hints-and-solution-manager.service.ts,99,99,0
638,image-preloader.service.ts,89,89,0
639,learner-answer-info.service.ts,57,52,5
640,learner-params.service.ts,11,11,0
641,learner-view-info-backend-api.service.ts,4,4,0
642,learner-view-rating.service.ts,14,2,12
643,number-attempts.service.ts,6,6,0
644,player-correctness-feedback-enabled.service.ts,6,5,1
645,player-position.service.ts,28,28,0
646,player-transcript.service.ts,40,36,4
647,prediction-algorithm-registry.service.ts,13,13,0
648,question-player-engine.service.ts,119,28,91
649,refresher-exploration-confirmation-modal.service.ts,6,2,4
650,state-classifier-mapping.service.ts,10,10,0
651,stats-reporting.service.ts,122,30,92
652,display-hint-modal.controller.ts,19,19,0
653,display-solution-modal.controller.ts,22,22,0
654,exploration-player-suggestion-modal.controller.ts,18,18,0
655,flag-exploration-modal.controller.ts,14,14,0
656,information-card-modal.controller.ts,40,40,0
657,refresher-exploration-confirmation-modal.controller.ts,20,20,0
658,take-break-modal.component.ts,5,5,0
659,stewards-landing-page.component.ts,56,56,0
660,topic-landing-page.component.ts,33,33,0
661,topic-landing-page.constants.ts,1,1,0
662,learner-dashboard-icons.component.ts,51,51,0
663,learner-dashboard-page.component.ts,184,184,0
664,learner-dashboard-page.constants.ts,1,1,0
665,learner-playlist-modal.component.ts,11,11,0
666,remove-activity-modal.component.ts,23,23,0
667,learner-dashboard-suggestion-modal.component.ts,7,7,0
668,suggestion-modal-for-learner-dashboard.service.ts,10,10,0
669,library-page.component.ts,141,141,0
670,library-page.constants.ajs.ts,2,2,0
671,library-page.constants.ts,1,1,0
672,library-footer.component.ts,7,7,0
673,search-bar.component.ts,102,102,0
674,activity-tiles-infinity-grid.component.ts,33,33,0
675,search-results.component.ts,30,30,0
676,login-page.component.ts,34,34,0
677,logout-page.component.ts,13,13,0
678,maintenance-page.component.ts,8,8,0
679,moderator-page.component.ts,46,46,0
680,notifications-dashboard-page.component.ts,21,21,0
681,playbook.component.ts,12,12,0
682,practice-session-page.component.ts,31,31,0
683,practice-session-page.constants.ajs.ts,4,4,0
684,practice-session-page.constants.ts,1,1,0
685,preferences-page.component.ts,100,100,0
686,edit-profile-picture-modal.controller.ts,32,32,0
687,profile-page-backend-api.service.ts,16,16,0
688,profile-page-domain.constants.ts,1,1,0
689,profile-page-navbar.component.ts,5,5,0
690,profile-page.component.ts,98,98,0
691,review-test-engine.service.ts,9,9,0
692,review-test-page.component.ts,32,32,0
693,review-test-page.constants.ajs.ts,3,3,0
694,review-test-page.constants.ts,1,1,0
695,signup-page.component.ts,99,99,0
696,license-explanation-modal.controller.ts,4,4,0
697,registration-session-expired-modal.controller.ts,9,9,0
698,skill-editor-page.component.ts,44,44,0
699,skill-editor-page.constants.ajs.ts,1,1,0
700,skill-editor-page.constants.ts,1,1,0
701,skill-editor-main-tab.directive.ts,42,42,0
702,skill-preview-modal.controller.ts,6,6,0
703,skill-concept-card-editor.directive.ts,76,18,58
704,worked-example-editor.directive.ts,36,4,32
705,skill-description-editor.directive.ts,30,6,24
706,misconception-editor.directive.ts,62,4,58
707,skill-misconceptions-editor.directive.ts,44,10,34
708,skill-prerequisite-skills-editor.directive.ts,52,10,42
709,skill-rubrics-editor.directive.ts,22,7,15
710,add-misconception-modal.controller.ts,16,16,0
711,add-worked-example-modal.controller.ts,8,8,0
712,delete-misconception-modal.component.ts,6,6,0
713,skill-editor-navbar-breadcrumb.component.ts,8,2,6
714,skill-editor-navbar.directive.ts,55,9,46
715,skill-questions-tab.directive.ts,19,5,14
716,question-creation.service.ts,122,122,0
717,skill-editor-routing.service.ts,31,31,0
718,skill-editor-state.service.ts,84,79,5
719,skill-preview-tab.component.ts,63,63,0
720,splash-page.component.ts,33,33,0
721,story-editor-page.component.ts,117,117,0
722,story-editor-page.constants.ajs.ts,1,1,0
723,story-editor-page.constants.ts,1,1,0
724,chapter-editor-tab.component.ts,31,31,0
725,story-editor.directive.ts,164,155,9
726,story-node-editor.directive.ts,212,199,13
727,new-chapter-title-modal.controller.ts,60,60,0
728,story-editor-navbar-breadcrumb.directive.ts,21,7,14
729,story-editor-navbar.directive.ts,111,49,62
730,story-editor-navigation.service.ts,28,28,0
731,story-editor-state.service.ts,92,79,13
732,story-preview-tab.component.ts,38,38,0
733,story-viewer-page.component.ts,62,62,0
734,story-viewer-navbar-breadcrumb.component.ts,15,15,0
735,story-viewer-navbar-pre-logo-action.component.ts,14,14,0
736,subtopic-viewer-page.component.ts,39,39,0
737,subtopic-viewer-navbar-breadcrumb.component.ts,12,12,0
738,subtopic-viewer-navbar-pre-logo-action.component.ts,6,6,0
739,teach-page.component.ts,44,44,0
740,terms-page.component.ts,3,3,0
741,thanks-page.component.ts,4,4,0
742,rearrange-skills-in-subtopics-modal.controller.ts,47,47,0
743,topic-editor-page.component.ts,116,115,1
744,topic-editor-page.constants.ajs.ts,1,1,0
745,topic-editor-page.constants.ts,1,1,0
746,topic-editor-stories-list.directive.ts,32,7,25
747,topic-editor-tab.directive.ts,223,223,0
748,change-subtopic-assignment-modal.template.controller.ts,7,7,0
749,create-new-story-modal.controller.ts,25,25,0
750,create-new-subtopic-modal.controller.ts,62,62,0
751,preview-thumbnail.component.ts,6,6,0
752,question-opportunities-select-skill-and-difficulty-modal.controller.ts,18,18,0
753,questions-list-select-skill-and-difficulty-modal.controller.ts,33,33,0
754,topic-editor-save-modal.controller.ts,5,5,0
755,topic-editor-navbar-breadcrumb.directive.ts,14,5,9
756,topic-editor-navbar.directive.ts,153,11,142
757,topic-preview-tab.component.ts,28,28,0
758,topic-questions-tab.directive.ts,47,7,40
759,entity-creation.service.ts,22,20,2
760,subtopic-validation-service.ts,16,16,0
761,topic-editor-routing.service.ts,52,52,0
762,topic-editor-state.service.ts,193,166,27
763,subtopic-editor-tab.component.ts,147,147,0
764,subtopic-preview-tab.component.ts,44,7,37
765,topic-viewer-page.component.ts,52,52,0
766,topic-viewer-navbar-breadcrumb.component.ts,7,7,0
767,practice-tab.component.ts,42,42,0
768,topic-viewer-stories-list.component.ts,7,7,0
769,subtopics-list.component.ts,7,7,0
770,create-new-skill-modal.controller.ts,49,49,0
771,create-new-topic-modal.controller.ts,34,34,0
772,delete-skill-modal.controller.ts,14,14,0
773,delete-topic-modal.controller.ts,5,5,0
774,topics-and-skills-dashboard-page.component.ts,194,194,0
775,topics-and-skills-dashboard-page.constants.ajs.ts,5,5,0
776,topics-and-skills-dashboard-page.constants.ts,10,10,0
777,topics-and-skills-dashboard-page.service.ts,38,38,0
778,topics-and-skills-dashboard-navbar-breadcrumb.component.ts,2,2,0
779,assign-skill-to-topic-modal.controller.ts,5,5,0
780,skills-list.directive.ts,100,79,21
781,unassign-skill-from-topics-modal.controller.ts,26,26,0
782,select-topics.component.ts,12,12,0
783,topics-list.directive.ts,35,35,0
784,UpgradedServices.ts,282,282,0
785,alerts.service.ts,34,34,0
786,angular-services.index.ts,1,1,0
787,app.service.ts,3,3,0
788,assets-backend-api.service.ts,66,66,0
789,attribution.service.ts,23,23,0
790,audio-bar-status.service.ts,6,6,0
791,audio-player.service.ts,66,19,47
792,auth-backend-api.service.ts,5,5,0
793,auth.service.ts,49,49,0
794,autogenerated-audio-player.service.ts,18,7,11
795,autoplayed-videos.service.ts,5,5,0
796,bottom-navbar-status.service.ts,6,6,0
797,code-normalizer.service.ts,33,33,0
798,compute-graph.service.ts,33,33,0
799,construct-translation-ids.service.ts,3,3,0
800,context.service.ts,111,111,0
801,csrf-token.service.ts,12,10,2
802,date-time-format.service.ts,18,18,0
803,debouncer.service.ts,17,17,0
804,editability.service.ts,14,14,0
805,exploration-features-backend-api.service.ts,7,7,0
806,exploration-features.service.ts,18,18,0
807,exploration-html-formatter.service.ts,36,36,0
808,exploration-improvements-backend-api.service.ts,28,28,0
809,exploration-improvements-task-registry.service.ts,128,128,0
810,exploration-improvements.service.ts,57,57,0
811,exploration-stats-backend-api.service.ts,6,6,0
812,exploration-stats.service.ts,7,7,0
813,extension-tag-assembler.service.ts,24,24,0
814,external-rte-save.service.ts,4,4,0
815,external-save.service.ts,4,4,0
816,generate-content-id.service.ts,21,21,0
817,guppy-configuration.service.ts,14,14,0
818,guppy-initialization.service.ts,38,38,0
819,html-escaper.service.ts,10,8,2
820,i18n-language-code.service.ts,10,10,0
821,id-generation.service.ts,6,6,0
822,image-local-storage.service.ts,28,28,0
823,image-upload-helper.service.ts,23,23,0
824,improvements.service.ts,4,4,0
825,interaction-rules-registry.service.ts,30,30,0
826,interaction-specs.service.ts,6,6,0
827,keyboard-shortcut.service.ts,52,52,0
828,loader.service.ts,6,6,0
829,local-storage.service.ts,28,28,0
830,math-interactions.service.ts,227,227,0
831,messenger.service.ts,51,11,40
832,navigation.service.ts,19,19,0
833,nested-directives-recursion-timeout-prevention.service.ts,12,12,0
834,ngb-modal.service.ts,1,1,0
835,page-title.service.ts,15,15,0
836,platform-feature.service.ts,75,75,0
837,playthrough-issues-backend-api.service.ts,29,29,0
838,playthrough-issues.service.ts,45,45,0
839,playthrough.service.ts,86,86,0
840,png-sanitizer.service.ts,10,10,0
841,prevent-page-unload-event.service.ts,14,14,0
842,promo-bar-backend-api.service.ts,10,8,2
843,question-validation.service.ts,4,4,0
844,questions-list.service.ts,37,37,0
845,request-interceptor.service.ts,30,19,11
846,rte-helper-modal.controller.ts,65,65,0
847,rte-helper.service.ts,36,36,0
848,schema-default-value.service.ts,31,31,0
849,schema-form-submitted.service.ts,4,4,0
850,schema-undefined-last-element.service.ts,5,5,0
851,search-backend-api.service.ts,4,4,0
852,search.service.ts,88,88,0
853,services.constants.ajs.ts,16,16,0
854,services.constants.ts,1,1,0
855,sidebar-status.service.ts,20,20,0
856,site-analytics.service.ts,68,68,0
857,speech-synthesis-chunker.service.ts,66,66,0
858,state-interaction-stats.service.ts,23,23,0
859,state-top-answers-stats-backend-api.service.ts,8,8,0
860,state-top-answers-stats.service.ts,44,38,6
861,suggestion-modal.service.ts,12,12,0
862,suggestions.service.ts,3,3,0
863,svg-sanitizer.service.ts,54,54,0
864,translate.service.ts,34,34,0
865,translation-file-hash-loader-backend-api.service.ts,7,6,1
866,translations-backend-api.service.ts,6,6,0
867,user-backend-api.service.ts,17,17,0
868,user.service.ts,30,30,0
869,utils.service.ts,31,29,2
870,validators.service.ts,40,40,0
871,device-info.service.ts,6,6,0
872,document-attribute-customization.service.ts,4,4,0
873,logger.service.ts,6,6,0
874,meta-tag-customization.service.ts,8,8,0
875,url.service.ts,110,110,0
876,window-dimensions.service.ts,7,7,0
877,window-ref.service.ts,3,3,0
878,background-mask.service.ts,6,6,0
879,focus-manager.service.ts,16,16,0
880,test.extras.ts,5,5,0
881,unit-test-utils.ts,37,34,3
882,ckeditor.import.ts,2,2,0
883,leaflet.import.ts,3,3,0
884,ng-audio.import.ts,1,1,0
885,ng-joy-ride.import.ts,1,1,0
886,select2.import.ts,1,1,0
887,ui-codemirror.import.ts,7,7,0
888,ui-tree.import.ts,1,1,0
889,classifiers-extension.constants.ts,1,1,0
890,count-vectorizer.service.ts,12,12,0
891,python-program.tokenizer.ts,168,115,53
892,svm-prediction.service.ts,121,119,2
893,text-input.tokenizer.ts,6,6,0
894,winnowing-preprocessing.service.ts,25,25,0
895,answer-defs.ts,0,0,0
896,base-interaction-validation.service.ts,24,22,2
897,interaction-attributes-extractor.service.ts,19,19,0
898,interactions-extension.constants.ajs.ts,4,4,0
899,interactions-extension.constants.ts,1,1,0
900,interactionsQuestionsRequires.ts,8,8,0
901,interactionsRequires.ts,21,21,0
902,AlgebraicExpressionInput.ts,5,5,0
903,algebraic-expression-input-rules.service.ts,43,43,0
904,algebraic-expression-input-validation.service.ts,44,44,0
905,oppia-interactive-algebraic-expression-input.component.ts,52,52,0
906,oppia-response-algebraic-expression-input.component.ts,7,7,0
907,oppia-short-response-algebraic-expression-input.component.ts,6,6,0
908,CodeRepl.ts,7,7,0
909,code-repl-prediction.service.ts,133,131,2
910,code-repl-rules.service.ts,23,23,0
911,code-repl-validation.service.ts,19,19,0
912,oppia-interactive-code-repl.directive.ts,94,6,88
913,oppia-response-code-repl.directive.ts,10,3,7
914,oppia-short-response-code-repl.directive.ts,7,3,4
915,Continue.ts,5,5,0
916,continue-rules.service.ts,2,2,0
917,continue-validation.service.ts,14,14,0
918,oppia-interactive-continue.component.ts,20,3,17
919,oppia-response-continue.component.ts,6,3,3
920,oppia-short-response-continue.component.ts,6,3,3
921,DragAndDropSortInput.ts,5,5,0
922,drag-and-drop-sort-input-rules.service.ts,35,35,0
923,drag-and-drop-sort-input-validation.service.ts,102,102,0
924,oppia-interactive-drag-and-drop-sort-input.directive.ts,45,4,41
925,oppia-response-drag-and-drop-sort-input.directive.ts,12,2,10
926,oppia-short-response-drag-and-drop-sort-input.directive.ts,12,2,10
927,EndExploration.ts,5,5,0
928,end-exploration-rules.service.ts,2,2,0
929,end-exploration-validation.service.ts,19,19,0
930,oppia-interactive-end-exploration.component.ts,33,33,0
931,oppia-response-end-exploration.component.ts,1,1,0
932,oppia-short-response-end-exploration.component.ts,1,1,0
933,FractionInput.ts,5,5,0
934,fraction-input-rules.service.ts,17,17,0
935,fraction-input-validation.service.ts,99,98,1
936,oppia-interactive-fraction-input.component.ts,73,7,66
937,oppia-response-fraction-input.component.ts,8,3,5
938,oppia-short-response-fraction-input.component.ts,8,3,5
939,GraphInput.ts,5,5,0
940,graph-detail.service.ts,27,4,23
941,graph-input-rules.service.ts,82,81,1
942,graph-input-validation.service.ts,31,28,3
943,graph-utils.service.ts,65,65,0
944,graph-viz.component.ts,261,19,242
945,oppia-interactive-graph-input.component.ts,60,11,49
946,oppia-response-graph-input.component.ts,15,7,8
947,oppia-short-response-graph-input.component.ts,5,3,2
948,ImageClickInput.ts,5,5,0
949,image-click-input-rules.service.ts,3,3,0
950,image-click-input-validation.service.ts,48,48,0
951,oppia-interactive-image-click-input.directive.ts,93,8,85
952,oppia-response-image-click-input.directive.ts,7,2,5
953,oppia-short-response-image-click-input.directive.ts,7,2,5
954,InteractiveMap.ts,5,5,0
955,interactive-map-rules.service.ts,14,14,0
956,interactive-map-validation.service.ts,20,20,0
957,oppia-interactive-interactive-map.directive.ts,47,8,39
958,oppia-response-interactive-map.directive.ts,9,4,5
959,oppia-short-response-interactive-map.directive.ts,11,2,9
960,ItemSelectionInput.ts,6,6,0
961,item-selection-input-rules.service.ts,17,17,0
962,item-selection-input-validation.service.ts,86,62,24
963,oppia-interactive-item-selection-input.directive.ts,45,5,40
964,oppia-response-item-selection-input.directive.ts,10,2,8
965,oppia-short-response-item-selection-input.directive.ts,10,2,8
966,LogicProof.ts,6,6,0
967,logic-proof-rules.service.ts,5,5,0
968,logic-proof-validation.service.ts,5,5,0
969,oppia-interactive-logic-proof.directive.ts,108,7,101
970,oppia-response-logic-proof.directive.ts,6,2,4
971,oppia-short-response-logic-proof.directive.ts,7,3,4
972,conversion.ts,8,4,4
973,data.ts,12,12,0
974,generatedDefaultData.ts,1,1,0
975,generatedParser.ts,1734,1414,320
976,shared.ts,326,309,17
977,student.ts,373,340,33
978,teacher.ts,43,38,5
979,logic-demo-test.controller.ts,131,131,0
980,strings.ts,7,7,0
981,teacher2.ts,282,265,17
982,MathEquationInput.ts,5,5,0
983,math-equation-input-rules.service.ts,79,79,0
984,math-equation-input-validation.service.ts,50,50,0
985,oppia-interactive-math-equation-input.component.ts,42,42,0
986,oppia-response-math-equation-input.component.ts,5,5,0
987,oppia-short-response-math-equation-input.component.ts,5,5,0
988,MultipleChoiceInput.ts,6,6,0
989,multiple-choice-input-rules.service.ts,3,3,0
990,multiple-choice-input-validation.service.ts,39,39,0
991,oppia-interactive-multiple-choice-input.directive.ts,39,5,34
992,oppia-response-multiple-choice-input.directive.ts,8,2,6
993,oppia-short-response-multiple-choice-input.directive.ts,11,4,7
994,MusicNotesInput.ts,6,6,0
995,music-notes-input-rules.service.ts,36,35,1
996,music-notes-input-validation.service.ts,5,5,0
997,music-phrase-player.service.ts,12,5,7
998,oppia-interactive-music-notes-input.directive.ts,281,10,271
999,oppia-response-music-notes-input.directive.ts,13,2,11
1000,oppia-short-response-music-notes-input.directive.ts,13,2,11
1001,NumberWithUnits.ts,5,5,0
1002,number-with-units-rules.service.ts,24,24,0
1003,number-with-units-validation.service.ts,50,47,3
1004,oppia-interactive-number-with-units.directive.ts,45,7,38
1005,oppia-response-number-with-units.directive.ts,8,3,5
1006,oppia-short-response-number-with-units.directive.ts,8,3,5
1007,NumericExpressionInput.ts,5,5,0
1008,numeric-expression-input-rules.service.ts,33,33,0
1009,numeric-expression-input-validation.service.ts,23,23,0
1010,oppia-interactive-numeric-expression-input.component.ts,44,44,0
1011,oppia-response-numeric-expression-input.component.ts,5,5,0
1012,oppia-short-response-numeric-expression-input.component.ts,5,5,0
1013,NumericInput.ts,5,5,0
1014,numeric-input-rules.service.ts,9,9,0
1015,numeric-input-validation.service.ts,76,61,15
1016,oppia-interactive-numeric-input.directive.ts,20,5,15
1017,oppia-response-numeric-input.directive.ts,8,2,6
1018,oppia-short-response-numeric-input.directive.ts,8,2,6
1019,PencilCodeEditor.ts,5,5,0
1020,oppia-interactive-pencil-code-editor.directive.ts,62,8,54
1021,oppia-response-pencil-code-editor.directive.ts,6,2,4
1022,oppia-short-response-pencil-code-editor.directive.ts,7,3,4
1023,pencil-code-editor-rules.service.ts,24,24,0
1024,pencil-code-editor-validation.service.ts,10,10,0
1025,RatioExpressionInput.ts,5,5,0
1026,oppia-interactive-ratio-expression-input.component.ts,42,42,0
1027,oppia-response-ratio-expression-input.component.ts,6,6,0
1028,oppia-short-response-ratio-expression-input.component.ts,6,6,0
1029,ratio-expression-input-rules.service.ts,8,8,0
1030,ratio-expression-input-validation.service.ts,63,63,0
1031,SetInput.ts,5,5,0
1032,oppia-interactive-set-input.directive.ts,32,4,28
1033,oppia-response-set-input.directive.ts,6,2,4
1034,oppia-short-response-set-input.directive.ts,8,3,5
1035,set-input-rules.service.ts,16,16,0
1036,set-input-validation.service.ts,40,40,0
1037,TextInput.ts,6,6,0
1038,text-input-prediction.service.ts,15,15,0
1039,oppia-interactive-text-input.directive.ts,27,5,22
1040,oppia-response-text-input.directive.ts,6,2,4
1041,oppia-short-response-text-input.directive.ts,8,4,4
1042,text-input-rules.service.ts,33,33,0
1043,text-input-validation.service.ts,63,63,0
1044,objectComponentsRequires.ts,42,42,0
1045,objectComponentsRequiresForPlayers.ts,3,3,0
1046,algebraic-expression-editor.component.ts,56,56,0
1047,boolean-editor.component.ts,6,4,2
1048,code-string-editor.component.ts,17,5,12
1049,coord-two-dim-editor.component.ts,20,4,16
1050,custom-osk-letters-editor.component.ts,43,43,0
1051,drag-and-drop-positive-int-editor.directive.ts,15,1,14
1052,filepath-editor.directive.ts,465,13,452
1053,fraction-editor.directive.ts,24,1,23
1054,graph-editor.directive.ts,5,1,4
1055,graph-property-editor.directive.ts,12,1,11
1056,html-editor.directive.ts,5,1,4
1057,image-with-regions-editor.directive.ts,259,2,257
1058,int-editor.directive.ts,7,1,6
1059,list-of-sets-of-translatable-html-content-ids-editor.component.ts,68,1,67
1060,list-of-tabs-editor.directive.ts,7,1,6
1061,list-of-unicode-string-editor.directive.ts,7,1,6
1062,logic-error-category-editor.directive.ts,12,1,11
1063,logic-question-editor.directive.ts,25,1,24
1064,math-equation-editor.component.ts,50,50,0
1065,math-expression-content-editor.directive.ts,68,7,61
1066,music-phrase-editor.directive.ts,19,1,18
1067,nonnegative-int-editor.directive.ts,7,1,6
1068,normalized-string-editor.directive.ts,33,2,31
1069,number-with-units-editor.directive.ts,18,1,17
1070,numeric-expression-editor.component.ts,47,47,0
1071,parameter-name-editor.directive.ts,16,1,15
1072,position-of-terms-editor.component.ts,11,11,0
1073,positive-int-editor.component.ts,6,6,0
1074,ratio-expression-editor.component.ts,14,14,0
1075,real-editor.directive.ts,10,1,9
1076,sanitized-url-editor.directive.ts,5,1,4
1077,set-of-algebraic-identifier-editor.component.ts,10,10,0
1078,set-of-translatable-html-content-ids-editor.component.ts,16,1,15
1079,set-of-unicode-string-editor.directive.ts,7,1,6
1080,skill-selector-editor.directive.ts,18,4,14
1081,subtitled-html-editor.directive.ts,7,2,5
1082,subtitled-unicode-editor.directive.ts,6,2,4
1083,svg-filename-editor.component.ts,732,732,0
1084,svg-filename-editor.constants.ajs.ts,4,4,0
1085,svg-filename-editor.constants.ts,1,1,0
1086,translatable-html-content-id.component.ts,8,1,7
1087,translatable-set-of-normalized-string-editor.component.ts,5,5,0
1088,translatable-set-of-unicode-string-editor.component.ts,5,5,0
1089,unicode-string-editor.directive.ts,33,2,31
1090,richTextComponentsRequires.ts,8,8,0
1091,oppia-noninteractive-collapsible.directive.ts,8,3,5
1092,oppia-noninteractive-image.directive.ts,46,7,39
1093,oppia-noninteractive-link.directive.ts,19,3,16
1094,oppia-noninteractive-math.directive.ts,25,6,19
1095,oppia-noninteractive-skillreview-concept-card-modal.controller.ts,7,7,0
1096,oppia-noninteractive-skillreview.directive.ts,20,6,14
1097,oppia-noninteractive-svgdiagram.component.ts,17,17,0
1098,oppia-noninteractive-tabs.directive.ts,7,3,4
1099,oppia-noninteractive-video.directive.ts,25,4,21
1100,valueGeneratorsRequires.ts,2,2,0
1101,copier.directive.ts,15,15,0
1102,random-selector.directive.ts,11,1,10
1103,oppia-visualization-click-hexbins.directive.ts,33,33,0
1104,oppia-visualization-enumerated-frequency-table.directive.ts,6,1,5
1105,oppia-visualization-frequency-table.directive.ts,1,1,0
1106,oppia-visualization-sorted-tiles.directive.ts,17,17,0
1107,app.component.ts,1,1,0
1108,leaflet-demo.component.ts,4,1,3
1109,core-demo.component.ts,16,1,15
1110,multi-map-demo.component.ts,6,1,5
1111,events-demo.component.ts,10,1,9
1112,baselayers-demo.component.ts,6,1,5
1113,layers-demo.component.ts,20,1,19
1114,layers-demo.model.ts,3,0,3
1115,markers-demo.component.ts,7,1,6
1116,ngfor-layers-demo.component.ts,7,1,6
1117,leaflet-wrapper.component.ts,4,2,2
1118,performance-demo.component.ts,6,1,5
1119,leaflet.directive.ts,113,29,84
1120,leaflet.directive.wrapper.ts,2,0,2
1121,leaflet.util.ts,8,0,8
1122,leaflet-layer.directive.ts,26,4,22
1123,leaflet-layers.directive.ts,21,2,19
1124,leaflet-baselayers.directive.ts,35,4,31
1125,leaflet-control-layers-changes.model.ts,4,0,4
1126,leaflet-control-layers-config.model.ts,2,0,2
1127,leaflet-control-layers.directive.ts,31,4,27
1128,leaflet-control-layers.wrapper.ts,31,0,31
